Race,Gender,Ethnicity,BeginDate,EndDate,LOS,AA,Wellness,SSM,VITotal,VIFamily,VISingle,VIHistory,VIRisk,VIDaily,VIWellness,VIFamilyUnit,Outcome,HousingPlacement,Family,JobPlacement,JobTraining,CriminalHistory,Issues,ChronicHomeless,CaseMgmt,PartnerServices,Recidivism,AgeEntry,AgeExit,IssueScore,CrimeScore,Exit,EarnedExit,BenefitsExit,PSH,HPOutcome
0,0,1,11/24/2014,12/10/2014,16,0,0,-99,7,1,0,0,2,1,1,2,1,0,1,0,0,1,1,0,2,1,0,41,41,19,1,2796,0,1,0,1
0,0,0,6/7/2010,11/18/2011,529,0,0,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,1,0,1,1,0,13,0,53,55,23,0,600,600,0,0,0
0,1,1,6/24/2010,10/7/2010,105,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,1,45,45,13,3,670,0,0,0,0
0,1,0,6/15/2011,7/25/2011,40,0,0,30,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,1,1,0,0,2,1,40,40,23,6,674,0,0,0,0
1,0,0,6/24/2010,3/1/2011,250,0,0,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,1,0,0,1,0,52,53,11,0,0,0,0,0,1
0,0,0,9/16/2010,10/19/2010,33,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,21,21,13,0,0,0,0,0,0
0,1,1,4/18/2012,6/11/2012,54,0,0,29,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,1,0,4,1,55,55,53,5,0,0,0,0,0
1,1,1,7/8/2010,7/21/2010,13,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,57,57,8,0,0,0,0,0,0
1,1,0,5/6/2010,3/2/2011,300,0,0,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,1,0,2,1,49,50,16,2,0,0,0,0,0
1,0,0,9/8/2011,2/23/2012,168,0,0,38,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,1,0,0,1,0,0,3,0,36,36,3,0,0,0,0,0,1
1,1,0,10/5/2012,12/16/2012,72,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,0,0,0,7,0,1,56,57,0,0,0,0,0,1,1
0,1,0,6/26/2010,12/16/2012,904,0,0,32,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,1,1,1,1,0,3,29,1,40,42,12,4,1000,1000,0,1,1
0,1,1,6/28/2010,6/30/2010,2,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,42,42,0,0,0,0,0,0,0
